UF;YEAR;MONTH;CHUVA;DENGUE
RJ;2016;04;376.8;12419.0
RJ;2016;05;893.2;8099.0
RJ;2016;06;1630.0;2723.0
RJ;2016;07;177.4;1727.0
RJ;2016;08;737.8;830.0
RJ;2016;09;1053.6;542.0
RJ;2016;10;1619.0;655.0
RJ;2016;11;5455.6;652.0
RJ;2016;12;3720.8;1256.0
PR;2017;01;5144.8;4949.0
PR;2017;02;3264.4;3456.0
PR;2017;03;2566.0;3304.0
PR;2017;04;2595.6;2430.0
PR;2017;05;5021.8;1424.0
PR;2017;06;2809.6;875.0
PR;2017;07;128.6;900.0
PR;2017;08;2653.6;1012.0
PR;2017;09;787.0;1857.0
PR;2017;10;6421.0;2465.0
PR;2017;11;4184.6;2388.0
PR;2017;12;5683.6;2833.0
ES;2017;03;966.6;2086.0
ES;2017;04;507.8;1668.0
ES;2017;05;905.2;1038.0
ES;2017;06;666.6;782.0
ES;2017;07;1043.2;570.0
ES;2017;08;153.6;541.0
ES;2017;09;345.8;441.0
ES;2017;10;509.4;539.0
ES;2017;11;1838.2;432.0
ES;2017;12;2888.8;674.0
MG;2017;01;6540.4;529.0
MG;2017;02;7968.8;497.0
MG;2017;03;5911.2;526.0
MG;2017;04;2780.4;576.0
MG;2017;05;3422.0;271.0
MG;2017;06;1238.6;124.0
MG;2017;07;602.4;92.0
MG;2017;08;300.8;84.0
MG;2017;09;1188.6;90.0
MG;2017;10;4080.2;159.0
MG;2017;11;10669.0;228.0
MG;2017;12;14828.4;308.0
CE;2017;01;770.8;4304.0
CE;2017;02;1694.6;6874.0
CE;2017;03;2356.6;11215.0
CE;2017;04;1782.4;22133.0
CE;2017;05;1131.6;9646.0
CE;2017;06;444.8;4546.0
CE;2017;07;465.4;2704.0
CE;2017;08;84.2;1093.0
CE;2017;09;19.6;1438.0
CE;2017;10;101.4;1133.0
CE;2017;11;140.8;621.0
CE;2017;12;312.0;529.0
RJ;2017;01;3593.4;1894.0
RJ;2017;02;1664.6;1345.0
RJ;2017;03;2959.0;1710.0
RJ;2017;04;2114.0;1886.0
RJ;2017;05;1333.6;1291.0
RJ;2017;06;1293.2;994.0
RJ;2017;07;853.4;949.0
RJ;2017;08;923.2;487.0
RJ;2017;09;382.2;380.0
RJ;2017;10;1607.2;458.0
RJ;2017;11;3929.2;566.0
RJ;2017;12;3102.0;893.0
RS;2017;01;5866.4;119.0
RS;2017;02;5525.0;54.0
RS;2017;03;6100.2;51.0
RS;2017;04;8108.6;29.0
RS;2017;05;11776.4;10.0
RS;2017;06;5062.0;0.0
RS;2017;07;899.6;0.0
RS;2017;08;6132.8;0.0
RS;2017;09;5572.0;0.0
RS;2017;10;9266.6;0.0
RS;2017;11;5175.4;0.0
RS;2017;12;4160.0;0.0
SP;2017;01;8511.0;516.0
SP;2017;02;2650.4;512.0
SP;2017;03;4702.8;418.0
SP;2017;04;4076.6;415.0
SP;2017;05;4400.4;199.0
SP;2017;06;1948.8;175.0
SP;2017;07;129.8;156.0
SP;2017;08;1920.6;204.0
SP;2017;09;868.8;347.0
SP;2017;10;5218.6;383.0
SP;2017;11;7342.0;219.0
SP;2017;12;7764.6;194.0
ES;2017;01;259.0;2244.0
ES;2017;02;762.4;1329.0
ES;2018;01;1187.2;797.0
ES;2018;02;1952.4;857.0
ES;2018;03;1747.0;1355.0
ES;2018;04;1970.6;2344.0
ES;2018;05;1413.8;2027.0
ES;2018;06;513.2;1990.0
